PositionTimestamp	PositionDifference	VideoTimestamp	VideoDifference
95450.030000	0.059867	NaN	NaN
95450.070000	0.058033	NaN	NaN
95450.110000	0.088633	NaN	NaN
95450.150000	0.085733	NaN	NaN
95450.191000	0.108267	NaN	NaN
95450.225000	0.275767	NaN	NaN
95450.265000	0.213167	NaN	NaN
95450.305000	0.107867	NaN	NaN
95450.345000	0.122033	NaN	NaN
95450.385000	0.123133	NaN	NaN
95450.420000	0.136733	NaN	NaN
95450.460000	0.095833	NaN	NaN
95450.500000	0.141333	NaN	NaN
95450.540000	0.125567	NaN	NaN
95450.580000	0.099033	NaN	NaN
95450.620000	0.099533	NaN	NaN
95450.660000	0.110633	NaN	NaN
95450.700000	0.115133	NaN	NaN
95450.740000	0.154433	NaN	NaN
95450.780000	0.101033	NaN	NaN
95450.820000	0.149133	NaN	NaN
95450.860000	0.164733	NaN	NaN
95450.900000	0.166733	NaN	NaN
95450.940000	0.133233	NaN	NaN
95450.975000	0.153733	NaN	NaN
95451.015000	0.157667	NaN	NaN
95451.055000	0.298733	NaN	NaN
95451.095000	0.260233	NaN	NaN
95451.135000	0.262733	NaN	NaN
95451.170000	0.270733	NaN	NaN
95451.210000	0.246633	NaN	NaN
95451.250000	0.202633	NaN	NaN
95451.290000	0.177433	NaN	NaN
95451.330000	0.256733	NaN	NaN
95451.370000	0.257833	NaN	NaN
95451.410000	0.394733	NaN	NaN
95451.450000	0.464133	NaN	NaN
95451.490000	0.301433	NaN	NaN
95451.530000	0.334333	NaN	NaN
95451.570000	0.321933	NaN	NaN
95451.610000	0.296533	NaN	NaN
95451.650000	0.318533	NaN	NaN
95451.691000	0.269433	NaN	NaN
95451.725000	0.407333	NaN	NaN
95451.765000	0.351067	NaN	NaN
95451.805000	3.099267	NaN	NaN
95451.845000	10.460467	NaN	NaN
95452.555000	0.526340	NaN	NaN
95452.595000	0.422840	NaN	NaN
95452.635000	0.524240	NaN	NaN
95452.670000	0.610640	NaN	NaN
95452.710000	0.538340	NaN	NaN
95452.750000	0.479440	NaN	NaN
95452.793000	0.387840	NaN	NaN
95452.830000	0.271140	NaN	NaN
95452.870000	0.329840	NaN	NaN
95452.910000	0.506340	NaN	NaN
95452.950000	0.657540	NaN	NaN
95452.990000	0.720740	NaN	NaN
95453.030000	0.543740	NaN	NaN
95453.070000	0.501240	NaN	NaN
95453.109000	0.452440	NaN	NaN
95453.150000	0.731440	NaN	NaN
95453.190000	0.612740	NaN	NaN
95453.225000	0.477240	NaN	NaN
95453.265000	0.503840	NaN	NaN
95453.305000	0.550740	NaN	NaN
95453.345000	0.345040	NaN	NaN
95453.385000	0.495640	NaN	NaN
95453.420000	0.583840	NaN	NaN
95453.460000	0.514140	NaN	NaN
95453.500000	0.425040	NaN	NaN
95453.540000	0.454440	NaN	NaN
95453.580000	0.295240	NaN	NaN
95453.620000	0.308160	NaN	NaN
95453.655000	0.544860	NaN	NaN
95453.700000	0.577460	NaN	NaN
95453.739000	0.880660	NaN	NaN
95453.779000	1.442160	NaN	NaN
95453.819000	1.813460	NaN	NaN
95453.859000	2.378560	NaN	NaN
95453.900000	4.110560	NaN	NaN
95453.940000	8.865260	NaN	NaN
95453.980000	18.433760	NaN	NaN
95454.734000	0.675500	NaN	NaN
95454.775000	0.713300	NaN	NaN
95454.816000	0.445500	NaN	NaN
95454.855000	0.583400	NaN	NaN
95454.895000	0.830500	NaN	NaN
95454.935000	0.525000	NaN	NaN
95454.975000	0.453100	NaN	NaN
95455.015000	0.782700	NaN	NaN
95455.050000	0.535400	NaN	NaN
95455.090000	0.523500	NaN	NaN
95455.130000	0.746700	NaN	NaN
95455.170000	0.576100	NaN	NaN
95455.210000	0.569400	NaN	NaN
95455.250000	0.603900	NaN	NaN
95455.290000	0.596100	NaN	NaN
95455.324000	0.531800	NaN	NaN
95455.364000	0.609167	NaN	NaN
95455.404000	0.823000	NaN	NaN
95455.444000	0.662267	NaN	NaN
95455.484000	0.761600	NaN	NaN
95455.530000	0.640300	NaN	NaN
95455.570000	0.717200	NaN	NaN
95455.609000	0.767000	NaN	NaN
95455.650000	0.772400	NaN	NaN
95455.690000	0.666967	NaN	NaN
95455.730000	0.885900	NaN	NaN
95455.770000	0.922600	NaN	NaN
95455.810000	0.791000	NaN	NaN
95455.850000	0.569967	NaN	NaN
95455.885000	0.771100	NaN	NaN
95455.925000	0.801167	NaN	NaN
95455.965000	0.798167	NaN	NaN
95456.005000	0.799700	NaN	NaN
95456.045000	0.700967	NaN	NaN
95456.080000	0.824700	NaN	NaN
95456.120000	0.833767	NaN	NaN
95456.160000	0.870167	NaN	NaN
95456.200000	0.858967	NaN	NaN
95456.240000	0.914067	NaN	NaN
95456.280000	0.855067	NaN	NaN
95456.320000	0.806967	NaN	NaN
95456.360000	0.917867	NaN	NaN
95456.400000	0.823067	NaN	NaN
95456.440000	0.913767	NaN	NaN
95456.480000	0.914067	NaN	NaN
95456.520000	0.962367	NaN	NaN
95456.555000	0.993167	NaN	NaN
95456.595000	1.049567	NaN	NaN
95456.635000	1.033367	NaN	NaN
95456.675000	1.025267	NaN	NaN
95456.715000	1.074367	NaN	NaN
95456.755000	1.094967	NaN	NaN
95456.795000	1.144967	NaN	NaN
95456.830000	1.179367	NaN	NaN
95456.870000	1.170067	NaN	NaN
95456.910000	1.026667	NaN	NaN
95456.950000	0.960033	NaN	NaN
95456.990000	6.267833	NaN	NaN
95457.030000	17.011033	NaN	NaN
95457.820000	0.396807	NaN	NaN
95457.860000	0.504807	NaN	NaN
95457.900000	0.369707	NaN	NaN
95457.940000	0.439307	NaN	NaN
95457.980000	0.489507	NaN	NaN
95458.020000	0.385607	NaN	NaN
95458.055000	0.486107	NaN	NaN
95458.095000	0.463707	NaN	NaN
95458.135000	0.479607	NaN	NaN
95458.175000	0.475107	NaN	NaN
95458.215000	0.369107	NaN	NaN
95458.255000	0.442707	NaN	NaN
95458.295000	0.443407	NaN	NaN
95458.334000	0.337207	NaN	NaN
95458.375000	0.328007	NaN	NaN
95458.414000	0.355607	NaN	NaN
95458.455000	0.411907	NaN	NaN
95458.494000	0.348307	NaN	NaN
95458.534000	0.376307	NaN	NaN
95458.574000	0.488107	NaN	NaN
95458.614000	0.384007	NaN	NaN
95458.654000	0.300107	NaN	NaN
95458.694000	0.331307	NaN	NaN
95458.734000	0.303407	NaN	NaN
95458.780000	0.357207	NaN	NaN
95458.820000	0.633893	NaN	NaN
95458.860000	0.492007	NaN	NaN
95458.900000	0.402907	NaN	NaN
95458.940000	0.501807	NaN	NaN
95458.980000	0.579593	NaN	NaN
95459.020000	0.574493	NaN	NaN
95459.060000	0.583093	NaN	NaN
95459.100000	0.808993	NaN	NaN
95459.140000	0.797693	NaN	NaN
95459.180000	0.572993	NaN	NaN
95459.220000	0.597493	NaN	NaN
95459.255000	0.427793	NaN	NaN
95459.295000	0.364307	NaN	NaN
95459.335000	0.330507	NaN	NaN
95459.375000	0.290507	NaN	NaN
95459.415000	0.370407	NaN	NaN
95459.455000	0.311407	NaN	NaN
95459.495000	0.320107	NaN	NaN
95459.535000	0.322307	NaN	NaN
95459.575000	0.344993	NaN	NaN
95459.614000	0.454993	NaN	NaN
95459.654000	0.556493	NaN	NaN
95459.694000	0.583593	NaN	NaN
95459.734000	0.608193	NaN	NaN
95459.775000	0.863793	NaN	NaN
95459.816000	1.111593	NaN	NaN
95459.850000	1.042293	NaN	NaN
95459.890000	1.448393	NaN	NaN
95459.930000	1.777293	NaN	NaN
95459.970000	2.981593	NaN	NaN
95460.010000	6.863493	NaN	NaN
95460.045000	13.624993	NaN	NaN
95460.720000	0.648440	NaN	NaN
95460.760000	0.723540	NaN	NaN
95460.795000	0.730940	NaN	NaN
95460.835000	0.731740	NaN	NaN
95460.875000	0.845040	NaN	NaN
95460.915000	0.956440	NaN	NaN
95460.955000	0.844140	NaN	NaN
95460.995000	0.758440	NaN	NaN
95461.035000	0.756040	NaN	NaN
95461.075000	0.763340	NaN	NaN
95461.115000	0.742840	NaN	NaN
95461.155000	0.735840	NaN	NaN
95461.195000	0.740840	NaN	NaN
95461.234000	0.732340	NaN	NaN
95461.275000	0.795040	NaN	NaN
95461.315000	0.949040	NaN	NaN
95461.350000	0.878440	NaN	NaN
95461.390000	0.904340	NaN	NaN
95461.430000	1.013840	NaN	NaN
95461.470000	1.040240	NaN	NaN
95461.510000	0.805440	NaN	NaN
95461.545000	0.797040	NaN	NaN
95461.585000	0.838740	NaN	NaN
95461.625000	0.893540	NaN	NaN
95461.665000	0.983340	NaN	NaN
95461.705000	1.028640	NaN	NaN
95461.745000	0.955040	NaN	NaN
95461.785000	0.971040	NaN	NaN
95461.825000	1.102140	NaN	NaN
95461.865000	0.922240	NaN	NaN
95461.905000	1.057840	NaN	NaN
95461.945000	0.994440	NaN	NaN
95461.985000	1.325940	NaN	NaN
95462.025000	1.176640	NaN	NaN
95462.065000	1.256540	NaN	NaN
95462.100000	1.295340	NaN	NaN
95462.140000	1.414240	NaN	NaN
95462.180000	1.400740	NaN	NaN
95462.220000	1.419840	NaN	NaN
95462.260000	1.457340	NaN	NaN
95462.295000	1.371240	NaN	NaN
95462.335000	1.631940	NaN	NaN
95462.375000	1.409340	NaN	NaN
95462.415000	1.338540	NaN	NaN
95462.455000	1.506140	NaN	NaN
95462.495000	1.555740	NaN	NaN
95462.535000	1.497640	NaN	NaN
95462.575000	1.647440	NaN	NaN
95462.615000	1.563140	NaN	NaN
95462.655000	1.555040	NaN	NaN
95462.695000	1.458340	NaN	NaN
95462.735000	1.670440	NaN	NaN
95462.775000	1.813140	NaN	NaN
95462.815000	1.923440	NaN	NaN
95462.850000	1.832040	NaN	NaN
95462.890000	1.780240	NaN	NaN
95462.930000	1.682440	NaN	NaN
95462.970000	1.637240	NaN	NaN
95463.010000	1.736740	NaN	NaN
95463.045000	1.846240	NaN	NaN
95463.085000	1.666540	NaN	NaN
95463.125000	2.120740	NaN	NaN
95463.165000	3.407840	NaN	NaN
95463.205000	3.205060	NaN	NaN
95463.245000	6.893460	NaN	NaN
95463.285000	20.496560	NaN	NaN
95463.955000	1.419627	NaN	NaN
95463.995000	1.191327	NaN	NaN
95464.035000	1.311573	NaN	NaN
95464.075000	1.588327	NaN	NaN
95464.115000	1.671927	NaN	NaN
95464.155000	1.672727	NaN	NaN
95464.194000	1.853127	NaN	NaN
95464.235000	1.580227	NaN	NaN
95464.275000	1.654027	NaN	NaN
95464.310000	1.791127	NaN	NaN
95464.350000	1.782527	NaN	NaN
95464.390000	1.887127	NaN	NaN
95464.430000	1.931127	NaN	NaN
95464.470000	1.822527	NaN	NaN
95464.510000	1.843027	NaN	NaN
95464.545000	1.888927	NaN	NaN
95464.585000	1.853327	NaN	NaN
95464.625000	1.979627	NaN	NaN
95464.665000	2.073327	NaN	NaN
95464.705000	2.021827	NaN	NaN
95464.745000	2.117927	NaN	NaN
95464.785000	2.047627	NaN	NaN
95464.825000	2.114727	NaN	NaN
95464.864000	2.125627	NaN	NaN
95464.904000	2.305527	NaN	NaN
95464.945000	2.228827	NaN	NaN
95464.984000	2.328827	NaN	NaN
95465.025000	2.339127	NaN	NaN
95465.065000	2.270627	NaN	NaN
95465.100000	2.242227	NaN	NaN
95465.140000	2.258327	NaN	NaN
95465.180000	2.274127	NaN	NaN
95465.220000	2.273727	NaN	NaN
95465.260000	2.338427	NaN	NaN
95465.295000	2.448227	NaN	NaN
95465.335000	2.379227	NaN	NaN
95465.375000	2.315327	NaN	NaN
95465.415000	2.329627	NaN	NaN
95465.455000	2.271327	NaN	NaN
95465.495000	2.438427	NaN	NaN
95465.535000	2.426827	NaN	NaN
95465.575000	2.491327	NaN	NaN
95465.615000	2.409627	NaN	NaN
95465.655000	2.526627	NaN	NaN
95465.695000	2.390227	NaN	NaN
95465.735000	2.597827	NaN	NaN
95465.775000	3.034827	NaN	NaN
95465.815000	6.336227	NaN	NaN
95465.855000	14.814127	NaN	NaN
95466.525000	0.534813	NaN	NaN
95466.565000	0.667913	NaN	NaN
95466.605000	0.633013	NaN	NaN
95466.645000	0.675813	NaN	NaN
95466.685000	0.702513	NaN	NaN
95466.725000	0.745913	NaN	NaN
95466.760000	0.709913	NaN	NaN
95466.800000	0.623613	NaN	NaN
95466.840000	0.644613	NaN	NaN
95466.880000	0.718013	NaN	NaN
95466.920000	0.676313	NaN	NaN
95466.960000	0.744713	NaN	NaN
95466.995000	0.729413	NaN	NaN
95467.035000	0.805313	NaN	NaN
95467.075000	0.818213	NaN	NaN
95467.115000	0.742813	NaN	NaN
95467.155000	0.851113	NaN	NaN
95467.195000	0.838613	NaN	NaN
95467.237000	0.875613	NaN	NaN
95467.275000	0.887313	NaN	NaN
95467.315000	0.939513	NaN	NaN
95467.355000	0.917713	NaN	NaN
95467.395000	0.954613	NaN	NaN
95467.430000	0.928413	NaN	NaN
95467.470000	0.892613	NaN	NaN
95467.510000	0.930413	NaN	NaN
95467.550000	0.801113	NaN	NaN
95467.590000	0.952313	NaN	NaN
95467.630000	0.907313	NaN	NaN
95467.670000	0.846513	NaN	NaN
95467.709000	0.830713	NaN	NaN
95467.745000	0.880113	NaN	NaN
95467.785000	1.045613	NaN	NaN
95467.825000	0.848413	NaN	NaN
95467.865000	0.847913	NaN	NaN
95467.905000	0.774713	NaN	NaN
95467.944000	0.802013	NaN	NaN
95467.984000	0.804013	NaN	NaN
95468.025000	0.888613	NaN	NaN
95468.065000	0.869713	NaN	NaN
95468.105000	0.915713	NaN	NaN
95468.145000	0.879813	NaN	NaN
95468.185000	0.958813	NaN	NaN
95468.225000	0.904913	NaN	NaN
95468.265000	0.832513	NaN	NaN
95468.305000	0.899013	NaN	NaN
95468.345000	0.887813	NaN	NaN
95468.380000	0.889913	NaN	NaN
95468.420000	0.896913	NaN	NaN
95468.460000	0.900913	NaN	NaN
95468.499000	0.911013	NaN	NaN
95468.539000	0.807713	NaN	NaN
95468.580000	0.845513	NaN	NaN
95468.619000	0.792713	NaN	NaN
95468.659000	0.869613	NaN	NaN
95468.699000	0.846013	NaN	NaN
95468.739000	0.735113	NaN	NaN
95468.779000	0.817713	NaN	NaN
95468.825000	0.784413	NaN	NaN
95468.865000	0.789613	NaN	NaN
95468.905000	0.626613	NaN	NaN
95468.945000	0.636013	NaN	NaN
95468.984000	0.644613	NaN	NaN
95469.025000	2.447287	NaN	NaN
95469.065000	8.632087	NaN	NaN
95469.105000	18.402287	NaN	NaN
95469.815000	0.460293	NaN	NaN
